,id,nome,siglaPartido,siglaUf,despesas
272,74141,Josias Gomes,PT,BA,4120.219999999999
161,220623,Duda Salabert,PDT,MG,4111.9800000000005
114,220582,Daniel Barbosa,PP,AL,4053.1100000000006
300,74585,Lincoln Portela,PL,MG,4028.45
391,160642,Pastor Eurico,PL,PE,3994.0899999999997
366,220585,Mersinho Lucena,PP,PB,3947.1500000000005
127,220673,Delegado Caveira,PL,PA,3944.9600000000005
500,160518,Weliton Prado,SOLIDARIEDADE,MG,3937.78
95,88256,Clodoaldo Magalhães,PV,PE,3910.9100000000003
241,204508,Igor Timo,PODE,MG,3909.16
323,74784,Luiza Erundina,PSOL,SP,3905.45
235,204444,Helio Lopes,PL,RJ,3894.09
1,204379,Acácio Favacho,MDB,AP,3860.6300000000006
392,204570,Pastor Gil,PL,MA,3826.4200000000005
360,220647,Mauricio Neves,PP,SP,3807.14
314,141485,Luiz Carlos Busato,UNIÃO,RS,3800.6699999999996
146,160758,Domingos Sávio,PL,MG,3708.87
284,204497,Júnior Ferrari,PSD,PA,3694.1800000000003
84,204369,Caroline de Toni,PL,SC,3673.29
19,204571,Alex Santana,REPUBLICANOS,BA,3670.05
244,204436,Isnaldo Bulhões Jr.,MDB,AL,3667.3199999999997
287,220677,Keniston Braga,MDB,PA,3648.9900000000002
455,74371,Rubens Otoni,PT,GO,3628.8100000000004
341,160535,Marcon,PT,RS,3627.6800000000003
238,160674,Hugo Motta,REPUBLICANOS,PB,3553.55
38,133439,André Figueiredo,PDT,CE,3528.73
320,204455,Luiz Lima,PL,RJ,3527.8999999999996
355,178843,Marx Beltrão,PP,AL,3522.34
293,220600,Lebrão,UNIÃO,RO,3516.23
352,178858,Mário Negromonte Jr.,PP,BA,3489.56
483,220560,Thiago de Joaldo,PP,SE,3483.5499999999997
325,220669,Lula da Fonte,PP,PE,3454.6200000000003
156,220528,Dr. Victor Linhalis,PODE,ES,3409.3
276,220559,Julia Zanatta,PL,SC,3384.54
9,178835,Afonso Motta,PDT,RS,3319.75
147,220573,Dorinaldo Malafaia,PDT,AP,3297.46
164,141421,Eduardo da Fonte,PP,PE,3293.1899999999996
87,73441,Celso Russomanno,REPUBLICANOS,SP,3234.4500000000003
37,204423,André Ferreira,PL,PE,3197.53
304,138286,Luciano Alves,PSD,PR,3118.15
342,204431,Marcos Aurélio Sampaio,PSD,PI,3095.2
357,220609,Maurício Carvalho,UNIÃO,RO,3082.66
333,160161,Marcelo Queiroz,PP,RJ,2981.25
330,220599,Marcelo Crivella,REPUBLICANOS,RJ,2882.71
191,220656,Fernanda Pessoa,UNIÃO,CE,2882.57
430,205865,Reinhold Stephanes,PSD,PR,2864.9399999999996
25,74057,Alice Portugal,PCdoB,BA,2861.95
509,204517,Zé Vitor,PL,MG,2832.3900000000003
186,220646,Felipe Becari,UNIÃO,SP,2818.76
131,204512,Delegado Marcelo Freitas,UNIÃO,MG,2727.91
70,143942,Caio Vianna,PSD,RJ,2706.7300000000005
358,220628,Mauricio do Vôlei,PL,MG,2692.08
227,220664,Guilherme Uchoa,PSB,PE,2674.17
434,221329,Ricardo Abrão,UNIÃO,RJ,2665.49
76,204361,Carlos Chiodini,MDB,SC,2637.6099999999997
